Module type ;Chip type ;Memory clock (MHz) ;Bus speed (GT/s) ;Transfer rate (Gbit/s); Transfer rate (GB/s)
FPM DRAM ;45 ns ;22  ;0.177  ;1.416  ;0.173 
EDO DRAM ;30 ns ;33  ;0.266  ;2.128  ;0.260
PC-66 SDR SDRAM ;10/15 ns ;66  ;0.066  ;4.264  ;0.521 
PC-100 SDR SDRAM ;8 ns ;100  ;0.100  ;6.4  ;0.781
PC-133 SDR SDRAM ;7/7.5 ns ;133  ;0.133  ;8.528  ;1.066 
RIMM-1200 RDRAM ;PC-600 ;300  ;0.600  ;9.6  ;1.2 
RIMM-1400 RDRAM ;PC-700 ;350  ;0.700  ;11.2  ;1.4 
RIMM-1600 RDRAM ;PC-800 ;400  ;0.800  ;12.8  ;1.6 
PC-1600 DDR SDRAM ;DDR-200 ;100  ;0.200  ;12.8  ;1.6 
RIMM-2100 RDRAM ;PC-1066 ;533  ;1.066  ;17.034  ;2.133 
PC-2100 DDR SDRAM ;DDR-266 ;133  ;0.266  ;17.034  ;2.133 
PC-2700 DDR SDRAM ;DDR-333 ;166  ;0.333  ;21.336  ;2.667 
PC-3200 DDR SDRAM ;DDR-400 ;200  ;0.400  ;25.6  ;3.2 
PC2-3200 DDR2 SDRAM ;DDR2-400 ;200  ;0.400  ;25.6  ;3.2 
PC-3500 DDR SDRAM ;DDR-433 ;216  ;0.433  ;27.728  ;3.466 
PC-3700 DDR SDRAM ;DDR-466 ;233  ;0.466  ;29.864  ;3.733 
PC-4000 DDR SDRAM ;DDR-500 ;250  ;0.500  ;32  ;4 
PC-4200 DDR SDRAM ;DDR-533 ;266  ;0.533  ;34.128  ;4.266 
PC2-4200 DDR2 SDRAM ;DDR2-533 ;266  ;0.533  ;34.128  ;4.266 
PC-4400 DDR SDRAM ;DDR-550 ;275  ;0.550  ;35.2  ;4.4 
PC-4800 DDR SDRAM ;DDR-600 ;300  ;0.600  ;38.4  ;4.8 
PC2-5300 DDR2 SDRAM ;DDR2-667 ;333  ;0.667  ;42.664  ;5.333 
PC2-6000 DDR2 SDRAM ;DDR2-750 ;375  ;0.750  ;48  ;6 
PC2-6400 DDR2 SDRAM ;DDR2-800 ;400  ;0.800  ;51.2  ;6.4 
PC3-6400 DDR3 SDRAM ;DDR3-800 ;400  ;0.800  ;51.2  ;6.4 
PC2-7200 DDR2 SDRAM ;DDR2-900 ;450  ;0.900  ;57.6  ;7.2 
PC2-8000 DDR2 SDRAM ;DDR2-1000 ;500  ;1  ;64  ;8 
PC2-8500 DDR2 SDRAM ;DDR2-1066 ;533  ;1.066  ;68  ;8.5 
PC3-8500 DDR3 SDRAM ;DDR3-1066 ;533  ;1.066  ;68  ;8.5 
PC2-8800 DDR2 SDRAM ;DDR2-1100 ;550  ;1.1  ;70.4  ;8.8 
PC2-8888 DDR2 SDRAM ;DDR2-1100 ;550  ;1.111  ;71.104  ;8.888 
PC2-9136 DDR2 SDRAM ;DDR2-1142 ;571  ;1.142  ;73.088  ;9.136 
PC2-9200 DDR2 SDRAM ;DDR2-1150 ;575  ;1.15  ;73.6  ;9.2 
PC2-9600 DDR2 SDRAM ;DDR2-1200 ;600  ;1.2  ;76.8  ;9.6 
PC2-10000 DDR2 SDRAM ;DDR2-1250 ;625  ;1.25  ;80  ;10 
PC3-10600 DDR3 SDRAM ;DDR3-1333 ;667  ;1.333  ;85.336  ;10.667 
PC3-11000 DDR3 SDRAM ;DDR3-1375 ;688  ;1.375  ;88  ;11 
PC3-12800 DDR3 SDRAM ;DDR3-1600 ;800  ;1.6  ;102.4  ;12.8 
PC3-13000 DDR3 SDRAM ;DDR3-1625 ;813  ;1.625  ;104  ;13 
PC3-14400 DDR3 SDRAM ;DDR3-1800 ;900  ;1.8  ;115.2  ;14.4 
PC3-14900 DDR3 SDRAM ;DDR3-1866 ;933  ;1.866  ;119.464  ;14.933 
PC3-15000 DDR3 SDRAM ;DDR3-1866 ;933  ;1.866  ;119.464  ;14.933 
PC3-16000 DDR3 SDRAM ;DDR3-2000 ;1000  ;2  ;128  ;16 
PC3-17000 DDR3 SDRAM ;DDR3-2133 ;1067  ;2.133  ;136.528  ;17.066 
PC4-17000 DDR4 SDRAM ;DDR4-2133 ;1067  ;2.133  ;136.5  ;17 
PC3-17600 DDR3 SDRAM ;DDR3-2200 ;1100  ;2.2  ;140.8  ;17.6 
PC3-19200 DDR3 SDRAM ;DDR3-2400 ;1200  ;2.4  ;153.6  ;19.2 
PC3-21300 DDR3 SDRAM ;DDR3-2666 ;1333  ;2.666  ;170.4  ;21.3 
PC3-24000 DDR3 SDRAM ;DDR3-3000 ;1500  ;3.0  ;192  ;24 
PC4-25600 DDR4 SDRAM ;DDR4-3200 ;1600  ;3.2  ;204.8  ;25.6 
