Chip type,Memory clock (MHz), Transfer rate (GB/s)
45 ns,22,0.173
30 ns,33,0.260
10/15 ns,66,0.521
8 ns,100,0.781
7/7.5 ns,133,1.066
PC-600,300,1.2
PC-700,350,1.4
PC-800,400,1.6
DDR-200,100,1.6
PC-1066,533,2.133
DDR-266,133,2.133
DDR-333,166,2.667
DDR-400,200,3.2
DDR2-400,200,3.2
DDR-433,216,3.466
DDR-466,233,3.733
DDR-500,250,4
DDR-533,266,4.266
DDR2-533,266,4.266
DDR-550,275,4.4
DDR-600,300,4.8
DDR2-667,333,5.333
DDR2-750,375,6
DDR2-800,400,6.4
DDR3-800,400,6.4
DDR2-900,450,7.2
DDR2-1000,500,8
DDR2-1066,533,8.5
DDR3-1066,533,8.5
DDR2-1100,550,8.8
DDR2-1100,550,8.888
DDR2-1142,571,9.136
DDR2-1150,575,9.2
DDR2-1200,600,9.6
DDR2-1250,625,10
DDR3-1333,667,10.667
DDR3-1375,688,11
DDR3-1600,800,12.8
DDR3-1625,813,13
DDR3-1800,900,14.4
DDR3-1866,933,14.933
DDR3-1866,933,14.933
DDR3-2000,1000,16
DDR3-2133,1067,17.066
DDR4-2133,1067,17
DDR3-2200,1100,17.6
DDR3-2400,1200,19.2
DDR3-2666,1333,21.3
DDR3-3000,1500,24
DDR4-3200,1600,25.6
